model,UPC,short_name,long_name,brand,shipping_type,quantity,list,Shipping Cost
1660.743.295,012611445705,American Standard 1660.743.295,American Standard 1660.743.295 Satin Transitional 3-Function Water-Saving Handshower,American Standard,Ground,0,128,8
1660.755.002,012611477713,American Standard 1660.755.002,American Standard 1660.755.002 Chrome Monoglide 4-Function Handshower,American Standard,Ground,0,67,8
1660.755.295,012611477744,American Standard 1660.755.295,American Standard 1660.755.295 Satin Monoglide 4-Function Handshower,American Standard,Ground,0,94,8
1660.756.002,012611477751,American Standard 1660.756.002,American Standard 1660.756.002 Chrome Monoglide Water-Saving 4-Function Handshower,American Standard,Ground,0,67,8
1660.756.295,012611477782,American Standard 1660.756.295,American Standard 1660.756.295 Satin Monoglide Water-Saving 4-Function Handshower,American Standard,Ground,0,94,8
1660.811.002,012611445156,American Standard 1660.811.002,American Standard 1660.811.002 Chrome Square Water-Saving Showerhead,American Standard,Ground,0,48,8
1660.811.224,012611502248,American Standard 1660.811.224,American Standard 1660.811.224 Oil Rubbed Bronze Square Water-Saving Showerhead,American Standard,Ground,0,73,8
1660.811.295,012611445170,American Standard 1660.811.295,American Standard 1660.811.295 Satin Square Water-Saving Showerhead,American Standard,Ground,0,73,8
1660.813.002,012611445217,American Standard 1660.813.002,American Standard 1660.813.002 Chrome Square 3-Function Water-Saving Showerhead,American Standard,Ground,2,69,8
1660.813.224,012611502231,American Standard 1660.813.224,American Standard 1660.813.224 Oil Rubbed Bronze Square 3-Function Water-Saving Showerhead,American Standard,Ground,0,104,8
1660.813.295,012611445231,American Standard 1660.813.295,American Standard 1660.813.295 Satin Square 3-Function Water-Saving Showerhead,American Standard,Ground,0,104,8
1660.841.002,012611445484,American Standard 1660.841.002,American Standard 1660.841.002 Chrome Square Water-Saving Single Function Handshower,American Standard,Ground,0,64,8
1660.841.224,012611502262,American Standard 1660.841.224,American Standard 1660.841.224 Oil Rubbed Bronze Square Water-Saving Single Function Handshower,American Standard,Ground,0,96,8
1660.841.295,012611445507,American Standard 1660.841.295,American Standard 1660.841.295 Satin Square Water-Saving Single Function Handshower,American Standard,Ground,0,96,8
1660.843.002,012611445613,American Standard 1660.843.002,American Standard 1660.843.002 Chrome Square 3-Function Water-Saving Handshower,American Standard,Ground,0,87,8
1660.843.224,012611502255,American Standard 1660.843.224,American Standard 1660.843.224 Oil Rubbed Bronze Square 3-Function Water-Saving Handshower,American Standard,Ground,0,131,8
1660.843.295,012611445637,American Standard 1660.843.295,American Standard 1660.843.295 Satin Square 3-Function Water-Saving Handshower,American Standard,Ground,0,131,8
1662.143.002,012611462382,American Standard 1662.143.002,American Standard 1662.143.002 Chrome Flowise Traditional 3-Function Complete Handshower Kit,American Standard,Ground,0,262,10
1662.143.224,012611474873,American Standard 1662.143.224,American Standard 1662.143.224 Oil Rubbed Bronze Flowise Traditional 3-Function Complete Handshower Kit,American Standard,Ground,2,393,10
1662.143.295,012611462900,American Standard 1662.143.295,American Standard 1662.143.295 Satin Flowise Traditional 3-Function Complete Handshower Kit,American Standard,Ground,1,393,10
1662.184.002,012611525636,American Standard 1662.184.002,American Standard 1662.184.002 Chrome Times Square Complete Handshower Kit,American Standard,Ground,0,297,10
1662.184.295,012611525643,American Standard 1662.184.295,American Standard 1662.184.295 Satin Times Square Complete Handshower Kit,American Standard,Ground,0,416,10
1662.211.002,012611487323,American Standard 1662.211.002,American Standard 1662.211.002 Chrome Commercial 1.5 GPM Flowise Shower System Kit with Slidebar,American Standard,Ground,0,401,10
1662.212.002,012611487330,American Standard 1662.212.002,American Standard 1662.212.002 Chrome Commercial 1.5 GPM Flowise Bath/Shower System Kit with Slidebar,American Standard,Ground,0,650,10
1662.213.002,012611487347,American Standard 1662.213.002,American Standard 1662.213.002 Chrome Commercial 1.5 GPM Flowise Shower System Kit with Slidebar,American Standard,Ground,0,642,10
